,posts,token
0,#同居后最容易闹矛盾的点##情侣#理解 情侣同居后容易产生哪些矛盾？又该如何去磨合？,# 同居 后 最 容易 闹矛盾 矛盾 的 点 ## 情侣 # 理解   情侣 同居 后 容易 产生 哪些 矛盾   又 该 如何 去 磨合  
1,"感情中放不下一个人，核心原因无非2大点：

第一个就是：他身上有非常吸引你的品质和特征：比如他对你很好，或者他很上进，很优秀，又或者他很懂你，话能说到你心里，让你觉得很暖心，事能办到你心里。

第二个原因就是：你没有更好的选择。虽然他身上好像也没有多少吸引你的点，但是你身边没有更好的 ...全文","感情 中放 放不下 不下 一个 个人   核心 原因 无非 2 大点  

 第一 第一个 一个 就是   他 身上 上有 非常 常吸 吸引 你 的 品质 和 特征   比如 他 对 你 很 好   或者 他 很 上进   很 优秀   又 或者 他 很 懂 你   话 能 说 到 你 心里   让 你 觉得 很 暖 心   事 能 办到 你 心里  

 第二 第二个 二个 原因 就是   你 没有 更好 的 选择   虽然 他 身上 上好 好像 也 没有 多少 少吸 吸引 你 的 点   但是 你 身边 没有 更好 的      全文"
2,"#同居后最容易闹矛盾的点##金牛座和摩羯座是绝配#
论摩羯金牛两个土象星座对撞的相处模式","# 同居 后 最 容易 闹矛盾 矛盾 的 点 ## 金牛 金牛座 和 摩羯座 是 绝配 #
 论 摩 羯 金牛 两个 土 象 星座 对撞 的 相处 模式"
3,#同居后最容易闹矛盾的点#刚和男朋友/女朋友婚前同居是种什么体验？,# 同居 后 最 容易 闹矛盾 矛盾 的 点 # 刚 和 男朋友 朋友   女朋友 朋友 婚前 同居 是 种 什么 体验  
4,#同居后最容易闹矛盾的点#女朋友跟前任同居过是什么感受？网友的回复：走心了。,# 同居 后 最 容易 闹矛盾 矛盾 的 点 # 女朋友 朋友 跟前 前任 同居 过 是 什么 感受   网友 的 回复   走 心 了  
5,#同居后最容易闹矛盾的点##情侣#要加油干 网页链接,# 同居 后 最 容易 闹矛盾 矛盾 的 点 ## 情侣 # 要 加油 干   网页 链接
6,#同居后最容易闹矛盾的点#没有同居过，不知道，单身多年了,# 同居 后 最 容易 闹矛盾 矛盾 的 点 # 没有 同居 过   不知 知道   单身 多年 了
7,"【逃避】
女粉：思思，我跟在他在一起，每次吵架，他都说让我去找一个比他更好，更能包容我，呵护我的男人。我不知道他这是什么意思，是在威胁我吗？

思思：我觉得更多的是在逃避你，而不是威胁。
“他都说让我去找一个比他更好，更能包容我，呵护我的男人”这句话说明他感到跟你相处很累，很烦，已经 ...全文","  逃避  
 女 粉   思思   我 跟 在 他 在 一起   每次 吵架   他 都 说 让 我 去 找 一个 比 他 更好   更 能 包容 我   呵护 我 的 男人   我 不知 知道 他 这 是 什么 意思   是 在 威胁 我 吗  

 思思   我 觉得 更多 的 是 在 逃避 你   而 不是 威胁  
  他 都 说 让 我 去 找 一个 比 他 更好   更 能 包容 我   呵护 我 的 男人   这 句 话 说明 他 感到 跟 你 相处 很 累   很烦   已经      全文"
8,#同居后最容易闹矛盾的点##情侣#生活习惯的磨合吧...我和对象同居也没有什么大矛盾...比较难以回答... 网页链接,# 同居 后 最 容易 闹矛盾 矛盾 的 点 ## 情侣 # 生活 生活习惯 习惯 的 磨合 吧     我 和 对象 同居 也 没有 什么 大 矛盾     比较 难以 回答      网页 链接
9,#同居后最容易闹矛盾的点##情侣#所有的矛盾都是站在了自己的角度，学会站在对方的角度就会慢慢难度减少，也是最好的磨合方法 网页链接,# 同居 后 最 容易 闹矛盾 矛盾 的 点 ## 情侣 # 所有 的 矛盾 都 是 站 在 了 自己 的 角度   学会 会站 在 对方 的 角度 就 会 慢慢 难度 减少   也 是 最好 的 磨合 方法   网页 链接
10,#拉你唠嗑# #同居后最容易闹矛盾的点# 你和室友闹过矛盾么？,# 拉 你 唠嗑 # # 同居 后 最 容易 闹矛盾 矛盾 的 点 #  你 和 室友 闹 过 矛盾 么  
11,#同居后最容易闹矛盾的点##恋爱中吵架的根本原因# 当男朋友提出同居时，你🉑️吗 杭州 杭州最街访的微博视频,# 同居 后 最 容易 闹矛盾 矛盾 的 点 ## 恋爱 中 吵架 的 根本 根本原因 本原 原因 #  当 男朋友 朋友 提出 同居 时   你    吗   杭州   杭州 最 街 访 的 微 博 视频
12,#同居后最容易闹矛盾的点# 同居以后的才知道的小秘密 学姐很污的微博视频,# 同居 后 最 容易 闹矛盾 矛盾 的 点 #  同居 以后 的 才 知道 的 小 秘密   学姐 很 污 的 微 博 视频
13,#同居后最容易闹矛盾的点#我觉得在两个人要谈婚论嫁的前提下同居可以（不要随便谈了三五个月就住一起，跟陌生人区别并不大），然后发生关系要保护好自己，毕竟没结婚，他随时可以离开，如果怀孕了，要或者不要，受苦受累的都是女孩子！个人观点，接受反驳，不要骂人！,# 同居 后 最 容易 闹矛盾 矛盾 的 点 # 我 觉得 在 两个 个人 要 谈婚论嫁 的 前提 提下 下同 同居 可以   不要 随便 谈 了 三五 三五个 五个 月 就 住 一起   跟 陌生 陌生人 生人 区别 并不大 不大    然后 后发 发生 关系 要 保护 护好 自己   毕竟 没 结婚   他 随时 可以 离开   如果 怀孕 了   要 或者 不要   受苦 受苦受累 受累 的 都 是 女孩 女孩子 孩子   个人 个人观点 观点   接受 反驳   不要 骂人  
14,"情感超话

“舒服”这两个字，其实就是恋爱中，男女之间相处的最好状态，它甚至可以决定两个人是否能继续走下去。

#同居后最容易闹矛盾的点##老百姓的各行各业#","情感 超 话 

  舒服   这 两个 字   其实 就是 恋爱 中   男女 男女之间 之间 相处 的 最好 状态   它 甚至 可以 决定 两个 个人 是否 能 继续 走下 下去  

# 同居 后 最 容易 闹矛盾 矛盾 的 点 ## 老百姓 百姓 的 各行 各行各业 各业 #"
15,"无论是经历怎么样的家庭和关系都要意识到，有些糟糕的事，是因为别人的错，不是自己的错。
不要拿别人的错去惩罚自己，不要拿别人的人生去惩罚自己的人生。

#同居后最容易闹矛盾的点#","无论 无论是 经历 怎么 怎么样 的 家庭 和 关系 都 要 意识 到   有些 糟糕 的 事   是因为 因为 别人 的 错   不是 自己 的 错  
 不要 拿 别人 的 错 去 惩罚 自己   不要 拿 别人 的 人生 去 惩罚 自己 的 人生  

# 同居 后 最 容易 闹矛盾 矛盾 的 点 #"
16,"斯语超话你什么时候最想谈恋爱？

大概是每晚加班后，回家的时候要走好久的路，满街的灯光闪烁，偶尔有情侣在路边嬉闹的走着，而我只有自己一个人的时候。

我们都不愿意将就，所以不能一想被照顾就谈恋爱，不能一想有人依靠就谈恋爱，不能一孤单就谈恋爱，不能因为得不到就来者不拒啊。

一个人单 ...全文","斯 语 超 话 你 什么 时候 最 想 谈恋爱 恋爱  

 大概 是 每晚 加班 后   回家 的 时候 要 走 好久 的 路   满街 的 灯光 闪烁   偶尔 有情 情侣 在 路边 嬉闹 的 走 着   而 我 只有 自己 一个 个人 的 时候  

 我们 都 不 愿意 将 就   所以 不能 一 想 被 照顾 就 谈恋爱 恋爱   不能 一 想有 有人 依靠 就 谈恋爱 恋爱   不能 一 孤单 就 谈恋爱 恋爱   不能 因为 得不到 不到 就 来者 来者不拒 啊  

 一个 个人 单      全文"
17,"#情侣##同居后最容易闹矛盾的点#
爱，就是包容。当然，前提是没有触碰底线。 情侣同居后容易产生哪些矛盾？又该如何去磨合？","# 情侣 ## 同居 后 最 容易 闹矛盾 矛盾 的 点 #
 爱   就是 包容   当然   前提 是 没有 触 碰 底线    情侣 同居 后 容易 产生 哪些 矛盾   又 该 如何 去 磨合  "
18,#同居后最容易闹矛盾的点##情侣#我让你看到我最真实又不美好的一面，我还是你心目中的那个人吗？ 网页链接,# 同居 后 最 容易 闹矛盾 矛盾 的 点 ## 情侣 # 我 让 你 看到 我 最 真实 又 不 美好 的 一面   我 还是 你 心目 目中 的 那个 个人 吗    网页 链接
19,#同居后最容易闹矛盾的点# 随便一件小事都可以成为那个点，时间一久就烦了。不过正是这些矛盾，让我们更清楚地看清一段感情，一个人#情感##爱情#,# 同居 后 最 容易 闹矛盾 矛盾 的 点 #  随便 一件 小事 都 可以 成为 那个 点   时间 一久 就 烦 了   不过 正是 这些 矛盾   让 我们 更 清楚 地 看清 一段 感情   一个 个人 # 情感 ## 爱情 #
20,你觉得#同居后最容易闹矛盾的点#是哪种？ 暖心文字的微博投票,你 觉得 # 同居 后 最 容易 闹矛盾 矛盾 的 点 # 是 哪种    暖 心 文字 的 微 博 投票
21,"矛盾通常是由双方的错误一起造成的
我不知道对于某些人而言 承认自己的错误是不是真的那么难 但一味地把错误归咎于对方身上 真的让人觉得很幼稚
#室友相处之道##同居后最容易闹矛盾的点##交流的艺术#","矛盾 通常 是 由 双方 的 错误 一起 造成 的 
 我 不知 知道 对于 某些 人 而言   承认 自己 的 错误 是不是 不是 真的 那么 难   但 一味 地 把 错误 归咎 归咎于 对方 身上   真的 让 人 觉得 很 幼稚 
# 室友 相处 之 道 ## 同居 后 最 容易 闹矛盾 矛盾 的 点 ## 交流 的 艺术 #"
22,#同居后最容易闹矛盾的点##情侣生活需要磨合，各方面，习惯，生活琐事等，都会暴露，但爱他就要爱他所有，相互理解相互尊重相互包容，婚姻需要经营 情侣同居后容易产生哪些矛盾？又该如何去磨合？,# 同居 后 最 容易 闹矛盾 矛盾 的 点 ## 情侣 生活 需要 磨合   各方 方面   习惯   生活 琐事 等   都 会 暴露   但 爱 他 就要 爱 他 所有   相互 相互理解 理解 相互 相互尊重 尊重 相互 包容   婚姻 需要 经营   情侣 同居 后 容易 产生 哪些 矛盾   又 该 如何 去 磨合  
23,#普法宣传进行时# 【关于同居关系的相关问题解答！】同居关系是男女双方未办理婚姻登记而自愿、持续、稳定、公开地有性生活内容的共同生活在一起的社会关系。①同居关系等于事实婚姻吗？ ②同居期间发生暴力算家暴吗？ ③解除同居关系时财产如何分割？详见↓ ↓ ↓#同居后最容易闹矛盾的点# （@法制网 ...全文,# 普法 宣传 进行 行时 #   关于 同居 关系 的 相关 问题 问题解答 题解 解答    同居 关系 是 男女 男女双方 双方 未办 未办理 办理 婚姻 婚姻登记 登记 而 自愿   持续   稳定   公开 开地 有性 性生活 生活 内容 的 共同 同生 生活 在 一起 的 社会 社会关系 关系    同居 关系 等于 事实 事实婚 婚姻 吗     同居 期间 发生 暴力 算 家暴 吗     解除 同居 关系 时 财产 如何 分割   详见      # 同居 后 最 容易 闹矛盾 矛盾 的 点 #    法制 法制网      全文
24,发布了头条文章：《“七年之痒”激情退却，伴侣间如何避免相看两厌？》 #男朋友不在社交网络公布你##优秀的男朋友有什么标准##同居后最容易闹矛盾的点#时间带走了我们的新鲜感# “七年之痒”激情退却，伴侣间如何避免相看两厌？,发布 了 头条 条文 文章     七年 七年之痒   激情 退却   伴侣 间 如何 避免 相看 两 厌    # 男朋友 朋友 不在 社交 网络 公布 你 ## 优秀 的 男朋友 朋友 有 什么 标准 ## 同居 后 最 容易 闹矛盾 矛盾 的 点 # 时间 带走 了 我们 的 新鲜 新鲜感 #   七年 七年之痒   激情 退却   伴侣 间 如何 避免 相看 两 厌  
25,3分钟了解家暴！①对同居的男女朋友同样有效；②经常性的谩骂、恐吓等精神暴力也认定为家暴；③遭遇家暴，可向法院申请人身安全保护令。无论性别，遭遇家暴时，请拿起法律的武器保护自己！#同居后最容易闹矛盾的点# 共青团中央的秒拍视频,3 分钟 了解 家暴    对 同居 的 男女 男女朋友 女朋友 朋友 同样 有效    经常 经常性 常性 的 谩骂   恐吓 等 精神 暴力 也 认定 定为 家暴    遭遇 家暴   可向 法院 申请 申请人 人身 人身安全 安全 保护 令   无论 性别   遭遇 家暴 时   请 拿起 法律 的 武器 保护 自己  # 同居 后 最 容易 闹矛盾 矛盾 的 点 #  共青 共青团 共青团中央 团中央 中央 的 秒 拍 视频
26,3分钟了解家暴！①对同居的男女朋友同样有效；②经常性的谩骂、恐吓等精神暴力也认定为家暴；③遭遇家暴，可向法院申请人身安全保护令。无论性别，遭遇家暴时，请拿起法律的武器保护自己！#同居后最容易闹矛盾的点# 共青团中央的秒拍视频,3 分钟 了解 家暴    对 同居 的 男女 男女朋友 女朋友 朋友 同样 有效    经常 经常性 常性 的 谩骂   恐吓 等 精神 暴力 也 认定 定为 家暴    遭遇 家暴   可向 法院 申请 申请人 人身 人身安全 安全 保护 令   无论 性别   遭遇 家暴 时   请 拿起 法律 的 武器 保护 自己  # 同居 后 最 容易 闹矛盾 矛盾 的 点 #  共青 共青团 共青团中央 团中央 中央 的 秒 拍 视频
27,"#同居后最容易闹矛盾的点##情侣#脾气的不合适，和习惯性格方面的不合，真的喜欢一个人那就要去磨合这些所谓的不合适
网页链接","# 同居 后 最 容易 闹矛盾 矛盾 的 点 ## 情侣 # 脾气 的 不合 合适   和 习惯 习惯性 惯性 性格 方面 的 不合   真的 喜欢 一个 个人 那 就要 去 磨合 这些 所谓 的 不合 合适 
 网页 链接"
28,#同居后最容易闹矛盾的点##情侣#生活中的柴米油盐吧！彼此会更在意一些小细节 网页链接,# 同居 后 最 容易 闹矛盾 矛盾 的 点 ## 情侣 # 生活 中 的 柴米 柴米油盐 油盐 吧   彼此 会 更 在意 一些 些小 细节   网页 链接
29,#同居后最容易闹矛盾的点##情侣#趁着没领证快散 网页链接,# 同居 后 最 容易 闹矛盾 矛盾 的 点 ## 情侣 # 趁着 没 领证 快 散   网页 链接
30,#同居后最容易闹矛盾的点# 网友求助: 之前和一位已婚同事同居。现在我结婚了，他拿“视频，逼我约澡”，好怕……我该怎么办？,# 同居 后 最 容易 闹矛盾 矛盾 的 点 #  网友 求助    之前 和 一位 已婚 同事 同居   现在 我 结婚 了   他 拿   视频   逼 我 约 澡    好 怕    我 该 怎么 怎么办  
31,#同居后最容易闹矛盾的点##情侣#三观和生活习惯，点点滴滴，适时沟通适量调整适度改变，再不行就滚 情侣同居后容易产生哪些矛盾？又该如何去磨合？,# 同居 后 最 容易 闹矛盾 矛盾 的 点 ## 情侣 # 三观 和 生活 生活习惯 习惯   点点 点点滴滴 点滴 滴滴   适时 沟通 适量 调整 适度 改变   再 不行 就 滚   情侣 同居 后 容易 产生 哪些 矛盾   又 该 如何 去 磨合  
32,"三行情书超话

错误六：总是一种等待的心态
在挽回当中等待对方回头是一个伪命题，对方永远不可能回头，对方也不会因为你的等待而回头，等待的，这种心态会让你变得越来越痛苦。请你牢牢记住，感情是争取来的，而不是求来的，等待本质上是通过付出自己的时间，乞求对方来关注自己的一种做法，这种 ...全文","三行 行情 情书 超 话 

 错误 六   总是 一种 等待 的 心态 
 在 挽回 当中 中等 等待 对方 回头 是 一个 伪命 命题   对方 永远 不可 可能 回头   对方 也 不会 因为 你 的 等待 而 回头   等待 的   这种 心态 会 让 你 变得 越来 越来越 痛苦   请 你 牢牢 牢牢记 牢记 记住   感情 是 争取 取来 的   而 不是 求 来 的   等待 本质 上 是 通过 过付 付出 出自 自己 的 时间   乞求 对方 来 关注 自己 的 一种 做法   这种      全文"
33,#同居后最容易闹矛盾的点##鸡毛蒜皮 网页链接,# 同居 后 最 容易 闹矛盾 矛盾 的 点 ## 鸡毛 鸡毛蒜皮 蒜皮   网页 链接
34,#同居后最容易闹矛盾的点#跟女朋友同居的日常，就是这样滴。,# 同居 后 最 容易 闹矛盾 矛盾 的 点 # 跟 女朋友 朋友 同居 的 日常   就是 这样 滴  
35,#同居后最容易闹矛盾的点##情侣#两个人都勤快都好说，最怕一个人勤快 另外一个人还懒得理直气壮。 网页链接,# 同居 后 最 容易 闹矛盾 矛盾 的 点 ## 情侣 # 两个 个人 都 勤快 都 好 说   最怕 一个 个人 勤快   另外 一个 个人 还 懒得 理直气壮    网页 链接
36,#同居后最容易闹矛盾的点##情侣#经济 网页链接,# 同居 后 最 容易 闹矛盾 矛盾 的 点 ## 情侣 # 经济   网页 链接
37,#同居后最容易闹矛盾的点# 你觉得情侣太早同居会怎么样？ 电影截图录的微博投票,# 同居 后 最 容易 闹矛盾 矛盾 的 点 #  你 觉得 情侣 太 早 同居 会 怎么 怎么样    电影 截图 图录 的 微 博 投票
38,你认为#同居后最容易闹矛盾的点#是什么？ 一句正能量的话的微博投票,你 认为 # 同居 后 最 容易 闹矛盾 矛盾 的 点 # 是 什么    一句 正 能量 的话 的 微 博 投票
39,"#恋爱前后闺蜜的变化#
不说闺蜜恋爱前后变化
男人恋爱前后变化得更快💢

#同居后最容易闹矛盾的点##感情#","# 恋爱 前后 闺 蜜 的 变化 #
 不 说 闺 蜜 恋爱 前后 变化 
 男人 恋爱 前后 变化 得 更快  

# 同居 后 最 容易 闹矛盾 矛盾 的 点 ## 感情 #"
40,"#同居后最容易闹矛盾的点#
衣服谁洗？
地谁拖？
饭谁做？
碗谁刷？","# 同居 后 最 容易 闹矛盾 矛盾 的 点 #
 衣服 谁 洗  
 地 谁 拖  
 饭 谁 做  
 碗 谁 刷  "
41,#同居后最容易闹矛盾的点##情侣#床头吵架床尾和 情侣同居后容易产生哪些矛盾？又该如何去磨合？,# 同居 后 最 容易 闹矛盾 矛盾 的 点 ## 情侣 # 床头 吵架 床尾 和   情侣 同居 后 容易 产生 哪些 矛盾   又 该 如何 去 磨合  
42,#小凯播报##小凯普法#【关于同居关系的相关问题解答！】同居关系是男女双方未办理婚姻登记而自愿、持续、稳定、公开地有性生活内容的共同生活在一起的社会关系。①同居关系等于事实婚姻吗？ ②同居期间发生暴力算家暴吗？ ③解除同居关系时财产如何分割？详见↓ ↓ ↓#同居后最容易闹矛盾的点# （ ...全文,# 小 凯 播报 ## 小 凯普 普法 #  关于 同居 关系 的 相关 问题 问题解答 题解 解答    同居 关系 是 男女 男女双方 双方 未办 未办理 办理 婚姻 婚姻登记 登记 而 自愿   持续   稳定   公开 开地 有性 性生活 生活 内容 的 共同 同生 生活 在 一起 的 社会 社会关系 关系    同居 关系 等于 事实 事实婚 婚姻 吗     同居 期间 发生 暴力 算 家暴 吗     解除 同居 关系 时 财产 如何 分割   详见      # 同居 后 最 容易 闹矛盾 矛盾 的 点 #       全文
43,"我一直都觉得，情侣之间比吵架更严重的，其实是争吵过后男女生之间的情绪差。

一般女孩子晚上吵完架后，情绪会经历一场风暴，先是生气，然后是难过，会自己哭，会失眠一整夜。

而大多数男孩子吵完架后往往不怎么当回事，会安安稳稳睡上一觉。

经历了一晚上情绪折磨的女孩子，会在第二天更加生气和失 ...全文","我 一直 都 觉得   情侣 之间 比 吵架 更 严重 的   其实 实是 争吵 吵过 过后 男女 男女生 女生 之间 的 情绪 差  

 一般 女孩 女孩子 孩子 晚上 吵 完 架 后   情绪 会 经历 一场 风暴   先是 生气   然后 是 难过   会 自己 哭   会 失眠 一整 一整夜 整夜  

 而 大多 大多数 多数 男孩 男孩子 孩子 吵 完 架 后 往往 不怎么 怎么 当回事 回事   会 安安 安安稳稳 安稳 稳稳 睡 上 一觉  

 经历 了 一晚 晚上 情绪 折磨 的 女孩 女孩子 孩子   会 在 第二 第二天 二天 更加 加生 生气 和 失      全文"
44,"我一直都觉得，情侣之间比吵架更严重的，其实是争吵过后男女生之间的情绪差。

一般女孩子晚上吵完架后，情绪会经历一场风暴，先是生气，然后是难过，会自己哭，会失眠一整夜。

而大多数男孩子吵完架后往往不怎么当回事，会安安稳稳睡上一觉。

经历了一晚上情绪折磨的女孩子，会在第二天更加生气和失 ...全文","我 一直 都 觉得   情侣 之间 比 吵架 更 严重 的   其实 实是 争吵 吵过 过后 男女 男女生 女生 之间 的 情绪 差  

 一般 女孩 女孩子 孩子 晚上 吵 完 架 后   情绪 会 经历 一场 风暴   先是 生气   然后 是 难过   会 自己 哭   会 失眠 一整 一整夜 整夜  

 而 大多 大多数 多数 男孩 男孩子 孩子 吵 完 架 后 往往 不怎么 怎么 当回事 回事   会 安安 安安稳稳 安稳 稳稳 睡 上 一觉  

 经历 了 一晚 晚上 情绪 折磨 的 女孩 女孩子 孩子   会 在 第二 第二天 二天 更加 加生 生气 和 失      全文"
45,#同居后最容易闹矛盾的点#你觉得同居多久适合结婚？？,# 同居 后 最 容易 闹矛盾 矛盾 的 点 # 你 觉得 同居 居多 多久 适合 结婚   
46,和猫同居以后，除了陪伴还有这个#同居后最容易闹矛盾的点# #喵星人# 搞怪的小萌宠的微博视频,和 猫 同居 以后   除了 陪伴 还有 这个 # 同居 后 最 容易 闹矛盾 矛盾 的 点 # # 喵 星 人 #  搞怪 的 小 萌 宠 的 微 博 视频
47,"#同居后最容易闹矛盾的点#
爱向往，未相守。几人纠缠在情感的泥潭，牵扯出了一段悲伤恋歌。付出了自己的情感，因为没有说出口的执着情感，而没能在一起，离愁别绪让人惋惜。爱了，珍惜，莫要等失去后追悔莫及。留一段幸福在身边，真爱莫放手。","# 同居 后 最 容易 闹矛盾 矛盾 的 点 #
 爱 向往   未 相守   几 人 纠缠 在 情感 的 泥潭   牵扯 出 了 一段 悲伤 恋歌   付出 了 自己 的 情感   因为 没有 说出 出口 的 执着 情感   而 没能 在 一起   离愁 离愁别绪 别绪 让 人 惋惜   爱 了   珍惜   莫要 等 失去 后 追悔 追悔莫及 莫及   留 一段 幸福 在 身边   真爱 莫 放手  "
48,"我一直都觉得，情侣之间比吵架更严重的，其实是争吵过后男女生之间的情绪差。

一般女孩子晚上吵完架后，情绪会经历一场风暴，先是生气，然后是难过，会自己哭，会失眠一整夜。

而大多数男孩子吵完架后往往不怎么当回事，会安安稳稳睡上一觉。

经历了一晚上情绪折磨的女孩子，会在第二天更加生气和失 ...全文","我 一直 都 觉得   情侣 之间 比 吵架 更 严重 的   其实 实是 争吵 吵过 过后 男女 男女生 女生 之间 的 情绪 差  

 一般 女孩 女孩子 孩子 晚上 吵 完 架 后   情绪 会 经历 一场 风暴   先是 生气   然后 是 难过   会 自己 哭   会 失眠 一整 一整夜 整夜  

 而 大多 大多数 多数 男孩 男孩子 孩子 吵 完 架 后 往往 不怎么 怎么 当回事 回事   会 安安 安安稳稳 安稳 稳稳 睡 上 一觉  

 经历 了 一晚 晚上 情绪 折磨 的 女孩 女孩子 孩子   会 在 第二 第二天 二天 更加 加生 生气 和 失      全文"
49,"#男朋友不在社交网络公布你#
你男朋友的朋友圈为什么从来不秀恩爱?

1.他觉得你长得不够好看
2.他在给自己留有余地
3.“他不止你一个女朋友”
4.单纯的不喜欢这样的社交方式

快看看你们是这几种原因吗
#同居后最容易闹矛盾的点#","# 男朋友 朋友 不在 社交 网络 公布 你 #
 你 男朋友 朋友 的 朋友 朋友圈 为什么 什么 从来 从来不 秀 恩爱  

1  他 觉得 你 长 得 不够 好看 
2  他 在 给 自己 留有 留有余地 有余 余地 
3   他 不止 你 一个 女朋友 朋友  
4  单纯 的 不 喜欢 这样 的 社交 方式 

 快 看看 你们 是 这 几种 原因 吗 
# 同居 后 最 容易 闹矛盾 矛盾 的 点 #"
50,#同居后最容易闹矛盾的点##情侣#每个人都有缺点 应该多点包容少点抱怨 情侣同居后容易产生哪些矛盾？又该如何去磨合？,# 同居 后 最 容易 闹矛盾 矛盾 的 点 ## 情侣 # 每个 个人 都 有 缺点   应该 多点 包容 少点 抱怨   情侣 同居 后 容易 产生 哪些 矛盾   又 该 如何 去 磨合  
51,#同居后最容易闹矛盾的点#最大的矛盾就是它要拆了我的家，我要对它动手。,# 同居 后 最 容易 闹矛盾 矛盾 的 点 # 最大 的 矛盾 就是 它 要 拆 了 我 的 家   我 要 对 它 动手  
52,#情侣##同居后最容易闹矛盾的点# 恋爱初期最好保持一定距离，距离产生美 网页链接,# 情侣 ## 同居 后 最 容易 闹矛盾 矛盾 的 点 #  恋爱 初期 最好 保持 一定 距离   距离 产生 美   网页 链接
53,"在爱情中，如果你太爱一个人，你就会特别重视，你对他的要求会越高，最后你们就会分手，如果你不爱他，最后你也不会嫁给他，所以最合适的人，一定是比较像亲人的人，才能够和你走到最后。
#同居后最容易闹矛盾的点#","在 爱情 中   如果 你 太 爱 一个 个人   你 就 会 特别 重视   你 对 他 的 要求 会 越 高   最后 你们 就 会分 分手   如果 你 不 爱 他   最后 你 也 不会 嫁给 他   所以 最合适 合适 的 人   一定 是 比较 像 亲人 的 人   才能 能够 和 你 走到 最后  
# 同居 后 最 容易 闹矛盾 矛盾 的 点 #"
54,#同居后最容易闹矛盾的点#你认为情侣同居以后最难忍受对方的问题是什么？ 长春大队长的微博投票,# 同居 后 最 容易 闹矛盾 矛盾 的 点 # 你 认为 情侣 同居 以后 最难 难忍 忍受 对方 的 问题 是 什么    长春 大队 大队长 队长 的 微 博 投票
55,"#同居后最容易闹矛盾的点#在知乎上看到一篇妈妈写给女儿关于同居的看法：“同居关系，能够使你们更好的去体验双方精神上有没有共同的追求。

相处之后，时间的磨砺，露出两个人的矛盾、无聊甚至丑陋的一面的时候，才能更好的审视精神上是否协调一致，是否有更多的相同的追求，而这在恋爱中，你很难去体 ...全文","# 同居 后 最 容易 闹矛盾 矛盾 的 点 # 在 知 乎 上 看到 一篇 妈妈 写给 女儿 关于 同居 的 看法    同居 关系   能够 使 你们 更好 的 去 体验 双方 精神 上有 有没有 没有 共同 的 追求  

 相处 之后   时间 的 磨砺   露出 两个 个人 的 矛盾   无聊 甚至 丑陋 的 一面 的 时候   才能 更好 的 审视 精神 上 是否 协调 协调一致 一致   是否 有 更多 的 相同 的 追求   而 这 在 恋爱 中   你 很 难 去 体      全文"
56,【法律常识：关于同居关系的相关法律问题】同居关系等于事实婚姻吗？ 同居期间发生暴力算家暴吗？ 解除同居关系时财产如何分割？详见↓ ↓ ↓ #同居后最容易闹矛盾的点#(@法制网 ）,  法律 法律常识 常识   关于 同居 关系 的 相关 关法 法律 问题   同居 关系 等于 事实 事实婚 婚姻 吗    同居 期间 发生 暴力 算 家暴 吗    解除 同居 关系 时 财产 如何 分割   详见       # 同居 后 最 容易 闹矛盾 矛盾 的 点 #   法制 法制网   
